Data,Thailand,Japan,Singapore,Malaysia,Cambodia,Philippines,Indonesia,Brunei,Korea,Vietnam,UK,US,China
22/1/2020 18:00,2,2,0,0,0,0,0,0,1,0,0,1,548
23/1/2020 18:00,3,1,1,0,0,0,0,0,1,2,0,1,643
24/1/2020 18:00,5,2,3,0,0,0,0,0,2,2,0,2,920
25/1/2020 18:00,7,2,3,3,0,0,0,0,2,2,0,2,1406
26/1/2020 18:00,8,4,4,4,0,0,0,0,3,2,0,5,2075
27/1/2020 18:00,8,4,5,4,1,0,0,0,4,2,0,5,2877
28/1/2020 18:00,14,7,7,4,1,0,0,0,4,2,0,5,5509
29/1/2020 18:00,14,7,7,7,1,0,0,0,4,2,0,5,6087
30/1/2020 18:00,14,11,10,8,1,1,0,0,4,2,0,5,8141
31/1/2020 18:00,19,15,13,8,1,1,0,0,11,2,2,7,9802
1/2/2020 18:00,19,20,16,8,1,1,0,0,12,6,2,8,11891
2/2/2020 18:00,19,20,18,8,1,2,0,0,15,6,2,8,16630
3/2/2020 18:00,19,20,18,8,1,2,0,0,15,8,2,11,19716
4/2/2020 18:00,25,22,24,10,1,2,0,0,16,8,2,11,23707
5/2/2020 18:00,25,22,28,12,1,2,0,0,19,8,2,11,27440
6/2/2020 18:00,25,45,28,12,1,2,0,0,23,10,2,11,30587
7/2/2020 18:00,25,25,30,12,1,3,0,0,24,10,3,11,34110
8/2/2020 18:00,32,25,33,16,1,3,0,0,24,13,3,11,36814
9/2/2020 18:00,32,26,40,16,1,3,0,0,25,13,3,11,39829
10/2/2020 18:00,32,26,45,18,1,3,0,0,27,14,8,11,42354
11/2/2020 18:00,33,26,47,18,1,3,0,0,28,15,8,12,44386
12/2/2020 18:00,33,28,50,18,1,3,0,0,28,15,9,12,44759
13/2/2020 18:00,33,28,58,19,1,3,0,0,28,16,9,13,59895
14/2/2020 18:00,33,29,67,19,1,3,0,0,28,16,9,13,66358
15/2/2020 18:00,33,43,72,22,1,3,0,0,28,16,9,13,68413
16/2/2020 18:00,34,59,75,22,1,3,0,0,29,16,9,13,70513
17/2/2020 18:00,35,66,77,22,1,3,0,0,30,16,9,13,72434
18/2/2020 18:00,35,74,81,22,1,3,0,0,31,16,9,13,74211
19/2/2020 18:00,35,84,84,22,1,3,0,0,31,16,9,13,74619
20/2/2020 18:00,35,94,84,22,1,3,0,0,104,16,9,13,75077
21/2/2020 18:00,35,105,85,22,1,3,0,0,204,16,9,15,75550
22/2/2020 18:00,35,122,85,22,1,3,0,0,433,16,9,15,77001
23/2/2020 18:00,35,147,89,22,1,3,0,0,602,16,9,15,77022
24/2/2020 18:00,35,159,89,22,1,3,0,0,833,16,13,51,77241
25/2/2020 18:00,37,170,91,22,1,3,0,0,977,16,13,51,77754
26/2/2020 18:00,40,189,93,22,1,3,0,0,1261,16,13,57,78166
27/2/2020 18:00,40,214,93,23,1,3,0,0,1766,16,15,58,78600
28/2/2020 18:00,41,228,93,23,1,3,0,0,2337,16,20,60,78928
29/2/2020 18:00,42,241,102,25,1,3,0,0,3150,16,23,68,79356
1/3/2020 18:00,42,256,106,29,1,3,0,0,3736,16,36,74,79932
2/3/2020 18:00,43,274,108,29,1,3,2,0,4335,16,40,98,80136
3/3/2020 18:00,43,293,110,36,1,3,2,0,5186,16,51,118,80261
4/3/2020 18:00,43,331,110,50,1,3,2,0,5621,16,86,149,80386
5/3/2020 18:00,47,360,117,50,1,3,2,0,6088,16,116,217,80537
6/3/2020 18:00,48,420,130,83,1,5,4,0,6593,16,164,262,80690
7/3/2020 18:00,50,461,138,93,1,6,4,0,7041,18,207,402,80770
8/3/2020 18:00,50,502,150,99,2,10,6,0,7314,30,274,518,80823
9/3/2020 18:00,50,511,150,117,2,20,19,1,7478,30,322,583,80860
10/3/2020 18:00,53,581,160,129,2,33,27,1,7513,31,384,959,80887
11/3/2020 18:00,59,639,178,149,3,49,34,11,7755,38,459,1281,80921
12/3/2020 18:00,70,639,178,149,3,52,34,11,7869,39,459,1663,80932
13/3/2020 18:00,75,701,200,197,5,64,69,37,7979,47,802,2179,80945
14/3/2020 18:00,82,773,212,238,7,111,96,40,8086,53,1144,2727,80977
15/3/2020 18:00,114,839,226,428,7,140,117,50,8162,56,1145,3499,81003
16/3/2020 18:00,147,825,243,566,7,142,134,54,8236,61,1551,4632,81033
