Data,Spain
2020-02-01 18:00:00,1
2020-02-02 18:00:00,1
2020-02-03 18:00:00,1
2020-02-04 18:00:00,1
2020-02-05 18:00:00,1
2020-02-06 18:00:00,1
2020-02-07 18:00:00,1
2020-02-08 18:00:00,1
2020-02-09 18:00:00,2
2020-02-10 18:00:00,2
2020-02-11 18:00:00,2
2020-02-12 18:00:00,2
2020-02-13 18:00:00,2
2020-02-14 18:00:00,2
2020-02-15 18:00:00,2
2020-02-16 18:00:00,2
2020-02-17 18:00:00,2
2020-02-18 18:00:00,2
2020-02-19 18:00:00,2
2020-02-20 18:00:00,2
2020-02-21 18:00:00,2
2020-02-22 18:00:00,2
2020-02-23 18:00:00,2
2020-02-24 18:00:00,2
2020-02-25 18:00:00,6
2020-02-26 18:00:00,13
2020-02-27 18:00:00,15
2020-02-28 18:00:00,32
2020-02-29 18:00:00,45
2020-03-01 18:00:00,84
2020-03-02 18:00:00,120
2020-03-03 18:00:00,165
2020-03-04 18:00:00,222
2020-03-05 18:00:00,259
2020-03-06 18:00:00,400
2020-03-07 18:00:00,500
2020-03-08 18:00:00,673
2020-03-09 18:00:00,1073
2020-03-10 18:00:00,1695
2020-03-11 18:00:00,2277
2020-03-12 18:00:00,2277
2020-03-13 18:00:00,5232
2020-03-14 18:00:00,6391
2020-03-15 18:00:00,7798
2020-03-16 18:00:00,9942
2020-03-17 18:00:00,11748
2020-03-18 18:00:00,13910
2020-03-19 18:00:00,17963
2020-03-20 18:00:00,20410
2020-03-21 18:00:00,25374
2020-03-22 18:00:00,28768
2020-03-23 18:00:00,35136
2020-03-24 18:00:00,39885
