Data,Indonesia
2020-03-02 18:00:00,2
2020-03-03 18:00:00,2
2020-03-04 18:00:00,2
2020-03-05 18:00:00,2
2020-03-06 18:00:00,4
2020-03-07 18:00:00,4
2020-03-08 18:00:00,6
2020-03-09 18:00:00,19
2020-03-10 18:00:00,27
2020-03-11 18:00:00,34
2020-03-12 18:00:00,34
2020-03-13 18:00:00,69
2020-03-14 18:00:00,96
2020-03-15 18:00:00,117
2020-03-16 18:00:00,134
2020-03-17 18:00:00,172
2020-03-18 18:00:00,227
2020-03-19 18:00:00,311
2020-03-20 18:00:00,369
2020-03-21 18:00:00,450
2020-03-22 18:00:00,514
2020-03-23 18:00:00,579
2020-03-24 18:00:00,686
