Data,Italy
2020-01-31 18:00:00,2
2020-02-01 18:00:00,2
2020-02-02 18:00:00,2
2020-02-03 18:00:00,2
2020-02-04 18:00:00,2
2020-02-05 18:00:00,2
2020-02-06 18:00:00,2
2020-02-07 18:00:00,3
2020-02-08 18:00:00,3
2020-02-09 18:00:00,3
2020-02-10 18:00:00,3
2020-02-11 18:00:00,3
2020-02-12 18:00:00,3
2020-02-13 18:00:00,3
2020-02-14 18:00:00,3
2020-02-15 18:00:00,3
2020-02-16 18:00:00,3
2020-02-17 18:00:00,3
2020-02-18 18:00:00,3
2020-02-19 18:00:00,3
2020-02-20 18:00:00,3
2020-02-21 18:00:00,20
2020-02-22 18:00:00,62
2020-02-23 18:00:00,155
2020-02-24 18:00:00,229
2020-02-25 18:00:00,322
2020-02-26 18:00:00,453
2020-02-27 18:00:00,655
2020-02-28 18:00:00,888
2020-02-29 18:00:00,1128
2020-03-01 18:00:00,1694
2020-03-02 18:00:00,2036
2020-03-03 18:00:00,2502
2020-03-04 18:00:00,3089
2020-03-05 18:00:00,3858
2020-03-06 18:00:00,4636
2020-03-07 18:00:00,5883
2020-03-08 18:00:00,7375
2020-03-09 18:00:00,9172
2020-03-10 18:00:00,10149
2020-03-11 18:00:00,12462
2020-03-12 18:00:00,12462
2020-03-13 18:00:00,17660
2020-03-14 18:00:00,21157
2020-03-15 18:00:00,24747
2020-03-16 18:00:00,27980
2020-03-17 18:00:00,31506
2020-03-18 18:00:00,35713
2020-03-19 18:00:00,41035
2020-03-20 18:00:00,47021
2020-03-21 18:00:00,53578
2020-03-22 18:00:00,59138
2020-03-23 18:00:00,63927
2020-03-24 18:00:00,69176
