Data,Japan
2020-01-22 18:00:00,2
2020-01-23 18:00:00,2
2020-01-24 18:00:00,2
2020-01-25 18:00:00,2
2020-01-26 18:00:00,4
2020-01-27 18:00:00,4
2020-01-28 18:00:00,7
2020-01-29 18:00:00,7
2020-01-30 18:00:00,11
2020-01-31 18:00:00,15
2020-02-01 18:00:00,20
2020-02-02 18:00:00,20
2020-02-03 18:00:00,20
2020-02-04 18:00:00,22
2020-02-05 18:00:00,22
2020-02-06 18:00:00,22
2020-02-07 18:00:00,25
2020-02-08 18:00:00,25
2020-02-09 18:00:00,26
2020-02-10 18:00:00,26
2020-02-11 18:00:00,26
2020-02-12 18:00:00,28
2020-02-13 18:00:00,28
2020-02-14 18:00:00,29
2020-02-15 18:00:00,43
2020-02-16 18:00:00,59
2020-02-17 18:00:00,66
2020-02-18 18:00:00,74
2020-02-19 18:00:00,84
2020-02-20 18:00:00,94
2020-02-21 18:00:00,105
2020-02-22 18:00:00,122
2020-02-23 18:00:00,147
2020-02-24 18:00:00,159
2020-02-25 18:00:00,170
2020-02-26 18:00:00,189
2020-02-27 18:00:00,214
2020-02-28 18:00:00,228
2020-02-29 18:00:00,241
2020-03-01 18:00:00,256
2020-03-02 18:00:00,274
2020-03-03 18:00:00,293
2020-03-04 18:00:00,331
2020-03-05 18:00:00,360
2020-03-06 18:00:00,420
2020-03-07 18:00:00,461
2020-03-08 18:00:00,502
2020-03-09 18:00:00,511
2020-03-10 18:00:00,581
2020-03-11 18:00:00,639
2020-03-12 18:00:00,639
2020-03-13 18:00:00,701
2020-03-14 18:00:00,773
2020-03-15 18:00:00,839
2020-03-16 18:00:00,839
2020-03-17 18:00:00,878
2020-03-18 18:00:00,889
2020-03-19 18:00:00,924
2020-03-20 18:00:00,963
2020-03-21 18:00:00,1007
2020-03-22 18:00:00,1101
2020-03-23 18:00:00,1128
2020-03-24 18:00:00,1193
