Data,Malaysia
2020-01-25 18:00:00,3
2020-01-26 18:00:00,4
2020-01-27 18:00:00,4
2020-01-28 18:00:00,4
2020-01-29 18:00:00,7
2020-01-30 18:00:00,8
2020-01-31 18:00:00,8
2020-02-01 18:00:00,8
2020-02-02 18:00:00,8
2020-02-03 18:00:00,8
2020-02-04 18:00:00,10
2020-02-05 18:00:00,12
2020-02-06 18:00:00,12
2020-02-07 18:00:00,12
2020-02-08 18:00:00,16
2020-02-09 18:00:00,16
2020-02-10 18:00:00,18
2020-02-11 18:00:00,18
2020-02-12 18:00:00,18
2020-02-13 18:00:00,19
2020-02-14 18:00:00,19
2020-02-15 18:00:00,22
2020-02-16 18:00:00,22
2020-02-17 18:00:00,22
2020-02-18 18:00:00,22
2020-02-19 18:00:00,22
2020-02-20 18:00:00,22
2020-02-21 18:00:00,22
2020-02-22 18:00:00,22
2020-02-23 18:00:00,22
2020-02-24 18:00:00,22
2020-02-25 18:00:00,22
2020-02-26 18:00:00,22
2020-02-27 18:00:00,23
2020-02-28 18:00:00,23
2020-02-29 18:00:00,25
2020-03-01 18:00:00,29
2020-03-02 18:00:00,29
2020-03-03 18:00:00,36
2020-03-04 18:00:00,50
2020-03-05 18:00:00,50
2020-03-06 18:00:00,83
2020-03-07 18:00:00,93
2020-03-08 18:00:00,99
2020-03-09 18:00:00,117
2020-03-10 18:00:00,129
2020-03-11 18:00:00,149
2020-03-12 18:00:00,149
2020-03-13 18:00:00,197
2020-03-14 18:00:00,238
2020-03-15 18:00:00,428
2020-03-16 18:00:00,566
2020-03-17 18:00:00,673
2020-03-18 18:00:00,790
2020-03-19 18:00:00,900
2020-03-20 18:00:00,1030
2020-03-21 18:00:00,1183
2020-03-22 18:00:00,1306
2020-03-23 18:00:00,1518
2020-03-24 18:00:00,1624
