Data,Philippines
2020-01-30 18:00:00,1
2020-01-31 18:00:00,1
2020-02-01 18:00:00,1
2020-02-02 18:00:00,2
2020-02-03 18:00:00,2
2020-02-04 18:00:00,2
2020-02-05 18:00:00,2
2020-02-06 18:00:00,2
2020-02-07 18:00:00,3
2020-02-08 18:00:00,3
2020-02-09 18:00:00,3
2020-02-10 18:00:00,3
2020-02-11 18:00:00,3
2020-02-12 18:00:00,3
2020-02-13 18:00:00,3
2020-02-14 18:00:00,3
2020-02-15 18:00:00,3
2020-02-16 18:00:00,3
2020-02-17 18:00:00,3
2020-02-18 18:00:00,3
2020-02-19 18:00:00,3
2020-02-20 18:00:00,3
2020-02-21 18:00:00,3
2020-02-22 18:00:00,3
2020-02-23 18:00:00,3
2020-02-24 18:00:00,3
2020-02-25 18:00:00,3
2020-02-26 18:00:00,3
2020-02-27 18:00:00,3
2020-02-28 18:00:00,3
2020-02-29 18:00:00,3
2020-03-01 18:00:00,3
2020-03-02 18:00:00,3
2020-03-03 18:00:00,3
2020-03-04 18:00:00,3
2020-03-05 18:00:00,3
2020-03-06 18:00:00,5
2020-03-07 18:00:00,6
2020-03-08 18:00:00,10
2020-03-09 18:00:00,20
2020-03-10 18:00:00,33
2020-03-11 18:00:00,49
2020-03-12 18:00:00,52
2020-03-13 18:00:00,64
2020-03-14 18:00:00,111
2020-03-15 18:00:00,140
2020-03-16 18:00:00,142
2020-03-17 18:00:00,187
2020-03-18 18:00:00,202
2020-03-19 18:00:00,217
2020-03-20 18:00:00,230
2020-03-21 18:00:00,307
2020-03-22 18:00:00,380
2020-03-23 18:00:00,462
2020-03-24 18:00:00,552
