Data,Philippines
2020-03-05 18:00:00,3
2020-03-06 18:00:00,5
2020-03-07 18:00:00,6
2020-03-08 18:00:00,10
2020-03-09 18:00:00,20
2020-03-10 18:00:00,33
2020-03-11 18:00:00,49
2020-03-12 18:00:00,52
2020-03-13 18:00:00,64
2020-03-14 18:00:00,111
2020-03-15 18:00:00,140
2020-03-16 18:00:00,142
2020-03-17 18:00:00,187
2020-03-18 18:00:00,202
2020-03-19 18:00:00,217
2020-03-20 18:00:00,230
2020-03-21 18:00:00,307
2020-03-22 18:00:00,380
2020-03-23 18:00:00,462
2020-03-24 18:00:00,552
