Data,Singapore
2020-01-23 18:00:00,1
2020-01-24 18:00:00,3
2020-01-25 18:00:00,3
2020-01-26 18:00:00,4
2020-01-27 18:00:00,5
2020-01-28 18:00:00,7
2020-01-29 18:00:00,7
2020-01-30 18:00:00,10
2020-01-31 18:00:00,13
2020-02-01 18:00:00,16
2020-02-02 18:00:00,18
2020-02-03 18:00:00,18
2020-02-04 18:00:00,24
2020-02-05 18:00:00,28
2020-02-06 18:00:00,28
2020-02-07 18:00:00,30
2020-02-08 18:00:00,33
2020-02-09 18:00:00,40
2020-02-10 18:00:00,45
2020-02-11 18:00:00,47
2020-02-12 18:00:00,50
2020-02-13 18:00:00,58
2020-02-14 18:00:00,67
2020-02-15 18:00:00,72
2020-02-16 18:00:00,75
2020-02-17 18:00:00,77
2020-02-18 18:00:00,81
2020-02-19 18:00:00,84
2020-02-20 18:00:00,84
2020-02-21 18:00:00,85
2020-02-22 18:00:00,85
2020-02-23 18:00:00,89
2020-02-24 18:00:00,89
2020-02-25 18:00:00,91
2020-02-26 18:00:00,93
2020-02-27 18:00:00,93
2020-02-28 18:00:00,93
2020-02-29 18:00:00,102
2020-03-01 18:00:00,106
2020-03-02 18:00:00,108
2020-03-03 18:00:00,110
2020-03-04 18:00:00,110
2020-03-05 18:00:00,117
2020-03-06 18:00:00,130
2020-03-07 18:00:00,138
2020-03-08 18:00:00,150
2020-03-09 18:00:00,150
2020-03-10 18:00:00,160
2020-03-11 18:00:00,178
2020-03-12 18:00:00,178
2020-03-13 18:00:00,200
2020-03-14 18:00:00,212
2020-03-15 18:00:00,226
2020-03-16 18:00:00,243
2020-03-17 18:00:00,266
2020-03-18 18:00:00,313
2020-03-19 18:00:00,345
2020-03-20 18:00:00,385
2020-03-21 18:00:00,432
2020-03-22 18:00:00,455
2020-03-23 18:00:00,509
2020-03-24 18:00:00,558
