Data,Singapore
1/3/2020 18:00,106
2/3/2020 18:00,108
3/3/2020 18:00,110
4/3/2020 18:00,110
5/3/2020 18:00,117
6/3/2020 18:00,130
7/3/2020 18:00,138
8/3/2020 18:00,150
9/3/2020 18:00,150
10/3/2020 18:00,160
11/3/2020 18:00,178
12/3/2020 18:00,178
13/3/2020 18:00,200
14/3/2020 18:00,212
15/3/2020 18:00,226
16/3/2020 18:00,243
17/3/2020 18:00,266
18/3/2020 18:00,313
19/3/2020 18:00,345
20/3/2020 18:00,385
21/3/2020 18:00,432
22/3/2020 18:00,455
23/3/2020 18:00,509
24/3/2020 18:00,558
