Data,Thailand
2020-01-22 18:00:00,2
2020-01-23 18:00:00,3
2020-01-24 18:00:00,5
2020-01-25 18:00:00,7
2020-01-26 18:00:00,8
2020-01-27 18:00:00,8
2020-01-30 18:00:00,14
2020-01-31 18:00:00,19
2020-02-04 18:00:00,25
2020-02-08 18:00:00,32
2020-02-11 18:00:00,33
2020-02-16 18:00:00,34
2020-02-17 18:00:00,35
2020-02-25 18:00:00,37
2020-02-26 18:00:00,40
2020-02-27 18:00:00,40
2020-02-28 18:00:00,41
2020-02-29 18:00:00,42
2020-03-01 18:00:00,42
2020-03-02 18:00:00,43
2020-03-03 18:00:00,43
2020-03-04 18:00:00,43
2020-03-05 18:00:00,47
2020-03-06 18:00:00,48
2020-03-07 18:00:00,50
2020-03-08 18:00:00,50
2020-03-09 18:00:00,50
2020-03-10 18:00:00,53
2020-03-11 18:00:00,59
2020-03-12 18:00:00,70
2020-03-13 18:00:00,75
2020-03-14 18:00:00,82
2020-03-15 18:00:00,114
2020-03-16 18:00:00,147
2020-03-17 18:00:00,177
2020-03-18 18:00:00,212
2020-03-19 18:00:00,272
2020-03-20 18:00:00,322
2020-03-21 18:00:00,411
2020-03-22 18:00:00,599
2020-03-23 18:00:00,721
2020-03-24 18:00:00,827
